Rep,Tillage,Organic_Manure,Yield
R1,Conventional,1,10.57
R1,Conventional,2,11.78
R1,Conventional,3,11.62
R1,Conventional,4,14.05
R1,Strip,1,12.55
R1,Strip,2,14.19
R1,Strip,3,15
R1,Strip,4,15.27
R2,Conventional,1,11.55
R2,Conventional,2,13.17
R2,Conventional,3,13.5
R2,Conventional,4,13.5
R2,Strip,1,11.41
R2,Strip,2,11.75
R2,Strip,3,13.41
R2,Strip,4,14.59
R3,Conventional,1,10.93
R3,Conventional,2,13.25
R3,Conventional,3,14.06
R3,Conventional,4,15.05
R3,Strip,1,10.81
R3,Strip,2,12.11
R3,Strip,3,14.13
R3,Strip,4,15.22
